Cities,Latitude,Longitude,Weather,Temperature,Humidity,Wind,Date
Mont Saint Michel,48.6359541,-1.511459954959514,clear sky,5.92,69,5.01,2023-01-23
Mont Saint Michel,48.6359541,-1.511459954959514,clear sky,5.94,70,5.64,2023-01-24
Mont Saint Michel,48.6359541,-1.511459954959514,clear sky,6.32,71,4.75,2023-01-25
Mont Saint Michel,48.6359541,-1.511459954959514,light rain,7.91,70,7.09,2023-01-26
Mont Saint Michel,48.6359541,-1.511459954959514,broken clouds,7.27,69,6.76,2023-01-27
Mont Saint Michel,48.6359541,-1.511459954959514,broken clouds,6.24,75,3.37,2023-01-28
Mont Saint Michel,48.6359541,-1.511459954959514,light rain,7.28,70,5.43,2023-01-29
St Malo,48.649518,-2.0260409,clear sky,5.6,74,6.67,2023-01-23
St Malo,48.649518,-2.0260409,scattered clouds,5.8,77,7.52,2023-01-24
St Malo,48.649518,-2.0260409,clear sky,6.19,77,5.67,2023-01-25
St Malo,48.649518,-2.0260409,light rain,7.53,72,9.19,2023-01-26
St Malo,48.649518,-2.0260409,light rain,6.67,70,9.68,2023-01-27
St Malo,48.649518,-2.0260409,broken clouds,7.23,77,4.31,2023-01-28
St Malo,48.649518,-2.0260409,light rain,7.5,69,6.69,2023-01-29
Bayeux,49.2764624,-0.7024738,scattered clouds,5.8,71,6.18,2023-01-23
Bayeux,49.2764624,-0.7024738,few clouds,5.45,76,6.82,2023-01-24
Bayeux,49.2764624,-0.7024738,clear sky,6.64,74,4.25,2023-01-25
Bayeux,49.2764624,-0.7024738,light rain,7.04,75,8.64,2023-01-26
Bayeux,49.2764624,-0.7024738,light rain,6.4,75,7.76,2023-01-27
Bayeux,49.2764624,-0.7024738,broken clouds,6.7,75,3.54,2023-01-28
Bayeux,49.2764624,-0.7024738,light rain,6.86,70,6.38,2023-01-29
Le Havre,49.4938975,0.1079732,clear sky,5.72,71,6.21,2023-01-23
Le Havre,49.4938975,0.1079732,clear sky,4.94,72,6.09,2023-01-24
Le Havre,49.4938975,0.1079732,clear sky,5.34,69,4.68,2023-01-25
Le Havre,49.4938975,0.1079732,light rain,6.83,73,8.6,2023-01-26
Le Havre,49.4938975,0.1079732,light rain,7.64,67,9.03,2023-01-27
Le Havre,49.4938975,0.1079732,broken clouds,5.44,78,4.18,2023-01-28
Le Havre,49.4938975,0.1079732,light rain,6.7,68,6.34,2023-01-29
Rouen,49.4404591,1.0939658,overcast clouds,4.28,79,5.3,2023-01-23
Rouen,49.4404591,1.0939658,clear sky,3.65,72,5.13,2023-01-24
Rouen,49.4404591,1.0939658,clear sky,5.23,63,3.71,2023-01-25
Rouen,49.4404591,1.0939658,light rain,5.94,81,6.64,2023-01-26
Rouen,49.4404591,1.0939658,clear sky,6.7,69,6.18,2023-01-27
Rouen,49.4404591,1.0939658,scattered clouds,5.79,71,3.54,2023-01-28
Rouen,49.4404591,1.0939658,light rain,6.47,70,4.51,2023-01-29
Paris,48.8588897,2.3200410217200766,broken clouds,2.43,79,4.93,2023-01-23
Paris,48.8588897,2.3200410217200766,few clouds,3.71,67,4.32,2023-01-24
Paris,48.8588897,2.3200410217200766,clear sky,4.54,69,2.79,2023-01-25
Paris,48.8588897,2.3200410217200766,light rain,6.77,70,5.32,2023-01-26
Paris,48.8588897,2.3200410217200766,broken clouds,5.49,64,6.25,2023-01-27
Paris,48.8588897,2.3200410217200766,scattered clouds,3.58,58,2.39,2023-01-28
Paris,48.8588897,2.3200410217200766,light rain,6.25,72,3.18,2023-01-29
Amiens,49.8941708,2.2956951,overcast clouds,3.48,85,5.85,2023-01-23
Amiens,49.8941708,2.2956951,broken clouds,3.95,72,5.61,2023-01-24
Amiens,49.8941708,2.2956951,clear sky,4.65,65,3.41,2023-01-25
Amiens,49.8941708,2.2956951,light rain,6.06,80,7.38,2023-01-26
Amiens,49.8941708,2.2956951,clear sky,5.8,69,6.44,2023-01-27
Amiens,49.8941708,2.2956951,broken clouds,4.94,67,2.91,2023-01-28
Amiens,49.8941708,2.2956951,light rain,6.03,75,4.35,2023-01-29
Lille,50.6365654,3.0635282,overcast clouds,3.35,86,4.35,2023-01-23
Lille,50.6365654,3.0635282,broken clouds,3.08,74,4.49,2023-01-24
Lille,50.6365654,3.0635282,clear sky,4.12,61,2.39,2023-01-25
Lille,50.6365654,3.0635282,light rain,6.49,78,6.5,2023-01-26
Lille,50.6365654,3.0635282,clear sky,5.46,68,5.96,2023-01-27
Lille,50.6365654,3.0635282,broken clouds,4.74,66,3.1,2023-01-28
Lille,50.6365654,3.0635282,light rain,6.57,68,4.42,2023-01-29
Strasbourg,48.584614,7.7507127,broken clouds,0.99,79,6.29,2023-01-23
Strasbourg,48.584614,7.7507127,overcast clouds,3.44,81,6.69,2023-01-24
Strasbourg,48.584614,7.7507127,overcast clouds,5.03,74,3.62,2023-01-25
Strasbourg,48.584614,7.7507127,rain and snow,1.8,96,2.22,2023-01-26
Strasbourg,48.584614,7.7507127,light snow,3.56,72,5.45,2023-01-27
Strasbourg,48.584614,7.7507127,few clouds,2.32,69,3.77,2023-01-28
Strasbourg,48.584614,7.7507127,light snow,0.25,95,3.03,2023-01-29
Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,light snow,-2.47,86,4.1,2023-01-23
Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,overcast clouds,-0.68,92,4.19,2023-01-24
Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,overcast clouds,1.6,81,2.61,2023-01-25
Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,light snow,-0.47,93,1.52,2023-01-26
Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,snow,-1.15,87,4.03,2023-01-27
Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,light snow,-1.28,81,2.61,2023-01-28
Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,light snow,-1.72,92,1.75,2023-01-29
Colmar,48.0777517,7.3579641,broken clouds,0.87,82,5.71,2023-01-23
Colmar,48.0777517,7.3579641,overcast clouds,2.42,90,5.65,2023-01-24
Colmar,48.0777517,7.3579641,broken clouds,4.66,82,3.58,2023-01-25
Colmar,48.0777517,7.3579641,light snow,2.7,90,1.66,2023-01-26
Colmar,48.0777517,7.3579641,light snow,2.13,85,4.98,2023-01-27
Colmar,48.0777517,7.3579641,light snow,1.86,78,3.79,2023-01-28
Colmar,48.0777517,7.3579641,rain and snow,1.93,82,2.13,2023-01-29
Eguisheim,48.0447968,7.3079618,light snow,0.79,83,5.55,2023-01-23
Eguisheim,48.0447968,7.3079618,overcast clouds,2.45,91,5.34,2023-01-24
Eguisheim,48.0447968,7.3079618,overcast clouds,4.58,83,3.32,2023-01-25
Eguisheim,48.0447968,7.3079618,light snow,2.96,88,1.59,2023-01-26
Eguisheim,48.0447968,7.3079618,light snow,1.84,88,4.68,2023-01-27
Eguisheim,48.0447968,7.3079618,light snow,1.82,80,3.64,2023-01-28
Eguisheim,48.0447968,7.3079618,light snow,2.16,83,1.68,2023-01-29
Besancon,47.2380222,6.0243622,overcast clouds,0.87,75,5.52,2023-01-23
Besancon,47.2380222,6.0243622,overcast clouds,1.76,93,3.64,2023-01-24
Besancon,47.2380222,6.0243622,overcast clouds,3.84,83,3.71,2023-01-25
Besancon,47.2380222,6.0243622,light snow,1.37,95,3.62,2023-01-26
Besancon,47.2380222,6.0243622,light snow,2.83,80,5.24,2023-01-27
Besancon,47.2380222,6.0243622,scattered clouds,2.43,71,4.05,2023-01-28
Besancon,47.2380222,6.0243622,light snow,0.61,83,1.57,2023-01-29
Dijon,47.3215806,5.0414701,overcast clouds,0.37,89,6.62,2023-01-23
Dijon,47.3215806,5.0414701,overcast clouds,1.64,97,5.72,2023-01-24
Dijon,47.3215806,5.0414701,overcast clouds,2.11,93,3.53,2023-01-25
Dijon,47.3215806,5.0414701,light snow,1.48,95,6.31,2023-01-26
Dijon,47.3215806,5.0414701,light snow,2.98,83,7.66,2023-01-27
Dijon,47.3215806,5.0414701,few clouds,2.08,77,5.78,2023-01-28
Dijon,47.3215806,5.0414701,light snow,0.5,97,2.66,2023-01-29
Annecy,45.8992348,6.1288847,light snow,-1.66,85,2.63,2023-01-23
Annecy,45.8992348,6.1288847,broken clouds,1.06,84,1.85,2023-01-24
Annecy,45.8992348,6.1288847,light snow,1.91,93,1.46,2023-01-25
Annecy,45.8992348,6.1288847,light snow,2.2,88,4.03,2023-01-26
Annecy,45.8992348,6.1288847,light snow,1.67,80,3.65,2023-01-27
Annecy,45.8992348,6.1288847,light snow,0.48,84,1.89,2023-01-28
Annecy,45.8992348,6.1288847,light snow,1.35,80,1.37,2023-01-29
Grenoble,45.1875602,5.7357819,light snow,-0.26,73,2.84,2023-01-23
Grenoble,45.1875602,5.7357819,broken clouds,3.19,67,1.97,2023-01-24
Grenoble,45.1875602,5.7357819,scattered clouds,4.25,73,1.93,2023-01-25
Grenoble,45.1875602,5.7357819,light snow,2.64,86,3.3,2023-01-26
Grenoble,45.1875602,5.7357819,light snow,2.69,75,2.06,2023-01-27
Grenoble,45.1875602,5.7357819,rain and snow,2.48,78,2.38,2023-01-28
Grenoble,45.1875602,5.7357819,light snow,2.61,76,3.05,2023-01-29
Lyon,45.7578137,4.8320114,light snow,0.27,78,6.34,2023-01-23
Lyon,45.7578137,4.8320114,overcast clouds,1.34,74,2.4,2023-01-24
Lyon,45.7578137,4.8320114,light rain,2.06,83,2.36,2023-01-25
Lyon,45.7578137,4.8320114,rain and snow,2.9,78,6.59,2023-01-26
Lyon,45.7578137,4.8320114,rain and snow,3.38,75,6.68,2023-01-27
Lyon,45.7578137,4.8320114,light snow,1.2,75,4.65,2023-01-28
Lyon,45.7578137,4.8320114,light snow,3.52,62,2.62,2023-01-29
Verdon Gorge,43.7496562,6.3285616,overcast clouds,4.55,34,2.86,2023-01-23
Verdon Gorge,43.7496562,6.3285616,broken clouds,5.76,44,2.05,2023-01-24
Verdon Gorge,43.7496562,6.3285616,overcast clouds,5.68,44,2.16,2023-01-25
Verdon Gorge,43.7496562,6.3285616,broken clouds,6.45,43,2.74,2023-01-26
Verdon Gorge,43.7496562,6.3285616,overcast clouds,5.45,40,1.68,2023-01-27
Verdon Gorge,43.7496562,6.3285616,clear sky,6.35,31,1.96,2023-01-28
Verdon Gorge,43.7496562,6.3285616,clear sky,6.29,33,2.77,2023-01-29
Bormes les Mimosas,43.1506968,6.3419285,light rain,7.18,42,4.91,2023-01-23
Bormes les Mimosas,43.1506968,6.3419285,light rain,9.34,63,7.62,2023-01-24
Bormes les Mimosas,43.1506968,6.3419285,overcast clouds,9.85,62,3.86,2023-01-25
Bormes les Mimosas,43.1506968,6.3419285,light rain,8.81,46,7.82,2023-01-26
Bormes les Mimosas,43.1506968,6.3419285,light rain,9.33,53,6.85,2023-01-27
Bormes les Mimosas,43.1506968,6.3419285,clear sky,10.09,38,4.74,2023-01-28
Bormes les Mimosas,43.1506968,6.3419285,clear sky,9.82,52,4.51,2023-01-29
Cassis,43.2140359,5.5396318,overcast clouds,5.83,41,6.1,2023-01-23
Cassis,43.2140359,5.5396318,light rain,9.84,47,4.04,2023-01-24
Cassis,43.2140359,5.5396318,overcast clouds,9.51,52,3.65,2023-01-25
Cassis,43.2140359,5.5396318,light rain,7.03,60,8.64,2023-01-26
Cassis,43.2140359,5.5396318,light rain,8.48,56,3.76,2023-01-27
Cassis,43.2140359,5.5396318,clear sky,9.25,48,5.5,2023-01-28
Cassis,43.2140359,5.5396318,few clouds,8.74,49,5.46,2023-01-29
Marseille,43.2961743,5.3699525,overcast clouds,4.78,49,7.3,2023-01-23
Marseille,43.2961743,5.3699525,light rain,9.07,46,4.01,2023-01-24
Marseille,43.2961743,5.3699525,overcast clouds,8.64,52,3.95,2023-01-25
Marseille,43.2961743,5.3699525,light rain,6.71,64,11.27,2023-01-26
Marseille,43.2961743,5.3699525,light rain,7.96,61,5.53,2023-01-27
Marseille,43.2961743,5.3699525,clear sky,8.12,52,6.74,2023-01-28
Marseille,43.2961743,5.3699525,few clouds,7.71,50,7.55,2023-01-29
Aix en Provence,43.5298424,5.4474738,broken clouds,3.57,40,2.16,2023-01-23
Aix en Provence,43.5298424,5.4474738,overcast clouds,6.76,42,2.02,2023-01-24
Aix en Provence,43.5298424,5.4474738,overcast clouds,8.07,43,2.14,2023-01-25
Aix en Provence,43.5298424,5.4474738,broken clouds,5.48,57,5.01,2023-01-26
Aix en Provence,43.5298424,5.4474738,light rain,6.77,57,2.47,2023-01-27
Aix en Provence,43.5298424,5.4474738,clear sky,7.41,45,3.13,2023-01-28
Aix en Provence,43.5298424,5.4474738,few clouds,6.88,42,2.62,2023-01-29
Avignon,43.9492493,4.8059012,broken clouds,2.44,59,12.47,2023-01-23
Avignon,43.9492493,4.8059012,overcast clouds,4.09,57,6.37,2023-01-24
Avignon,43.9492493,4.8059012,broken clouds,6.25,58,8.4,2023-01-25
Avignon,43.9492493,4.8059012,overcast clouds,5.75,64,13.04,2023-01-26
Avignon,43.9492493,4.8059012,light snow,6.3,59,12.63,2023-01-27
Avignon,43.9492493,4.8059012,clear sky,5.26,57,10.18,2023-01-28
Avignon,43.9492493,4.8059012,scattered clouds,5.56,54,11.11,2023-01-29
Uzès,44.0121279,4.4196718,broken clouds,3.08,55,10.95,2023-01-23
Uzès,44.0121279,4.4196718,overcast clouds,3.81,56,6.51,2023-01-24
Uzès,44.0121279,4.4196718,broken clouds,5.86,56,7.82,2023-01-25
Uzès,44.0121279,4.4196718,overcast clouds,7.49,49,10.84,2023-01-26
Uzès,44.0121279,4.4196718,broken clouds,5.99,56,11.66,2023-01-27
Uzès,44.0121279,4.4196718,clear sky,5.55,51,7.76,2023-01-28
Uzès,44.0121279,4.4196718,broken clouds,6.28,43,8.46,2023-01-29
Nímes,43.8374249,4.3600687,scattered clouds,4.05,50,9.74,2023-01-23
Nímes,43.8374249,4.3600687,overcast clouds,4.84,53,6.11,2023-01-24
Nímes,43.8374249,4.3600687,broken clouds,6.74,53,6.8,2023-01-25
Nímes,43.8374249,4.3600687,overcast clouds,8.15,45,9.9,2023-01-26
Nímes,43.8374249,4.3600687,overcast clouds,6.56,54,11.05,2023-01-27
Nímes,43.8374249,4.3600687,clear sky,6.41,47,7.59,2023-01-28
Nímes,43.8374249,4.3600687,scattered clouds,6.95,39,7.32,2023-01-29
Aigues Mortes,43.5658225,4.1912837,scattered clouds,5.0,49,9.56,2023-01-23
Aigues Mortes,43.5658225,4.1912837,overcast clouds,5.74,55,6.4,2023-01-24
Aigues Mortes,43.5658225,4.1912837,broken clouds,7.05,51,5.76,2023-01-25
Aigues Mortes,43.5658225,4.1912837,broken clouds,8.37,49,9.32,2023-01-26
Aigues Mortes,43.5658225,4.1912837,overcast clouds,7.32,55,11.24,2023-01-27
Aigues Mortes,43.5658225,4.1912837,clear sky,7.0,45,7.14,2023-01-28
Aigues Mortes,43.5658225,4.1912837,few clouds,7.3,40,5.48,2023-01-29
Saintes Maries de la mer,43.4522771,4.4287172,scattered clouds,4.72,57,12.66,2023-01-23
Saintes Maries de la mer,43.4522771,4.4287172,overcast clouds,5.72,60,9.5,2023-01-24
Saintes Maries de la mer,43.4522771,4.4287172,overcast clouds,7.12,59,9.16,2023-01-25
Saintes Maries de la mer,43.4522771,4.4287172,broken clouds,8.14,52,15.08,2023-01-26
Saintes Maries de la mer,43.4522771,4.4287172,light rain,6.82,63,13.54,2023-01-27
Saintes Maries de la mer,43.4522771,4.4287172,clear sky,6.82,53,10.27,2023-01-28
Saintes Maries de la mer,43.4522771,4.4287172,few clouds,7.32,45,10.38,2023-01-29
Collioure,42.52505,3.0831554,few clouds,6.09,53,14.32,2023-01-23
Collioure,42.52505,3.0831554,overcast clouds,6.21,55,10.47,2023-01-24
Collioure,42.52505,3.0831554,overcast clouds,8.44,50,10.1,2023-01-25
Collioure,42.52505,3.0831554,broken clouds,8.67,49,14.71,2023-01-26
Collioure,42.52505,3.0831554,scattered clouds,6.9,60,15.66,2023-01-27
Collioure,42.52505,3.0831554,clear sky,6.99,54,12.86,2023-01-28
Collioure,42.52505,3.0831554,few clouds,9.76,37,12.92,2023-01-29
Carcassonne,43.2130358,2.3491069,light snow,2.04,82,9.48,2023-01-23
Carcassonne,43.2130358,2.3491069,light snow,2.09,80,6.07,2023-01-24
Carcassonne,43.2130358,2.3491069,broken clouds,3.07,80,7.07,2023-01-25
Carcassonne,43.2130358,2.3491069,snow,3.87,84,10.44,2023-01-26
Carcassonne,43.2130358,2.3491069,light snow,3.2,88,8.45,2023-01-27
Carcassonne,43.2130358,2.3491069,rain and snow,2.96,83,7.86,2023-01-28
Carcassonne,43.2130358,2.3491069,rain and snow,4.4,69,8.24,2023-01-29
Ariege,42.9455368,1.4065544156065486,snow,-4.45,85,3.22,2023-01-23
Ariege,42.9455368,1.4065544156065486,light snow,-3.7,80,1.95,2023-01-24
Ariege,42.9455368,1.4065544156065486,light snow,-1.42,81,2.18,2023-01-25
Ariege,42.9455368,1.4065544156065486,light snow,-2.16,80,3.12,2023-01-26
Ariege,42.9455368,1.4065544156065486,snow,-4.53,98,3.56,2023-01-27
Ariege,42.9455368,1.4065544156065486,light snow,-4.22,90,2.8,2023-01-28
Ariege,42.9455368,1.4065544156065486,light snow,-2.31,86,2.42,2023-01-29
Toulouse,43.6044622,1.4442469,light snow,1.94,70,6.44,2023-01-23
Toulouse,43.6044622,1.4442469,overcast clouds,1.47,76,4.22,2023-01-24
Toulouse,43.6044622,1.4442469,broken clouds,3.53,68,4.65,2023-01-25
Toulouse,43.6044622,1.4442469,light rain,5.0,69,7.55,2023-01-26
Toulouse,43.6044622,1.4442469,rain and snow,3.91,76,6.3,2023-01-27
Toulouse,43.6044622,1.4442469,overcast clouds,3.43,66,5.76,2023-01-28
Toulouse,43.6044622,1.4442469,broken clouds,5.01,58,5.06,2023-01-29
Montauban,44.0175835,1.3549991,overcast clouds,2.33,70,5.86,2023-01-23
Montauban,44.0175835,1.3549991,broken clouds,1.82,76,3.28,2023-01-24
Montauban,44.0175835,1.3549991,few clouds,3.94,67,4.74,2023-01-25
Montauban,44.0175835,1.3549991,light rain,5.09,73,7.52,2023-01-26
Montauban,44.0175835,1.3549991,light rain,5.42,68,7.7,2023-01-27
Montauban,44.0175835,1.3549991,few clouds,3.91,66,4.65,2023-01-28
Montauban,44.0175835,1.3549991,broken clouds,4.74,63,4.62,2023-01-29
Biarritz,43.471143749999996,-1.552726590666314,overcast clouds,3.58,77,4.07,2023-01-23
Biarritz,43.471143749999996,-1.552726590666314,overcast clouds,4.0,70,2.89,2023-01-24
Biarritz,43.471143749999996,-1.552726590666314,light rain,4.59,66,4.68,2023-01-25
Biarritz,43.471143749999996,-1.552726590666314,light rain,6.7,70,4.16,2023-01-26
Biarritz,43.471143749999996,-1.552726590666314,light rain,6.09,63,6.82,2023-01-27
Biarritz,43.471143749999996,-1.552726590666314,scattered clouds,5.62,58,3.97,2023-01-28
Biarritz,43.471143749999996,-1.552726590666314,overcast clouds,7.18,65,2.32,2023-01-29
Bayonne,43.4945144,-1.4736657,overcast clouds,4.13,73,3.35,2023-01-23
Bayonne,43.4945144,-1.4736657,overcast clouds,4.42,69,2.22,2023-01-24
Bayonne,43.4945144,-1.4736657,light rain,5.12,65,3.68,2023-01-25
Bayonne,43.4945144,-1.4736657,light rain,7.25,69,3.2,2023-01-26
Bayonne,43.4945144,-1.4736657,light rain,6.48,62,5.96,2023-01-27
Bayonne,43.4945144,-1.4736657,scattered clouds,6.15,56,3.39,2023-01-28
Bayonne,43.4945144,-1.4736657,overcast clouds,7.66,62,2.32,2023-01-29
La Rochelle,46.1591126,-1.1520434,broken clouds,4.97,67,7.63,2023-01-23
La Rochelle,46.1591126,-1.1520434,scattered clouds,3.51,80,8.22,2023-01-24
La Rochelle,46.1591126,-1.1520434,scattered clouds,5.41,76,6.13,2023-01-25
La Rochelle,46.1591126,-1.1520434,light rain,6.66,93,7.79,2023-01-26
La Rochelle,46.1591126,-1.1520434,broken clouds,5.08,75,9.2,2023-01-27
La Rochelle,46.1591126,-1.1520434,clear sky,5.0,66,5.7,2023-01-28
La Rochelle,46.1591126,-1.1520434,light rain,9.25,85,5.41,2023-01-29
